Fund,HQ,Region,NYC,Type,Stage,Focus / Thesis,Key People,Notable Portfolio,Scale,Tier,Src,Status,Notes
MMC Ventures,"London, UK",UK,-,Generalist w/ crypto,Seed/A,Research-led early stage; crypto custody exposure,Bruce Macfarlane,Copper,,Track,K,,verify
Modular Capital,"San Francisco, USA",US West,-,Liquid + venture,Multi-stage,"thesis-driven liquid tokens, DeFi","James Ho, Vincent Jow",,~$20M initial raise,Track,K
Mogo,"Vancouver, Canada",Canada,-,Consumer fintech strategic,Growth,Canadian crypto exchange minority stakes,David Feller (CEO),Coinsquare / WonderFi (~13% stake),,Track,K
MolochDAO,Remote,Global,-,Grants DAO,Grants,Ethereum infrastructure public-goods grants DAO,Ameen Soleimani (founder),,,Track,K,,verify
Molten Ventures,"London, UK",UK,-,Generalist w/ crypto,Multi-stage,Listed European deeptech; digital asset hardware,Ben Wilkinson,Ledger,~£1.3B AUM,Track,K
Momentum 6,Remote,Global,-,Angel-style fund + growth studio,Seed,Early token deals plus marketing support,Garlam Won (founder),"The Sandbox, Reef, Sifchain",~135+ investments,Track,K
Monad Foundation,Remote,Global,People,Ecosystem foundation,Grants,Monad L1 ecosystem growth,Keone Hon (Monad co-founder; NYC-based labs),,,Track,K,,verify
Monarq Asset Management,"New York, USA",NYC,People,quant multi-strategy hedge fund (Cayman-domiciled),liquid,systematic digital asset trading strategies,Shiliang Tang (LedgerPrime founder); fka MNNC Group,,~several hundred $M AUM; launched Q1 2024; FalconX majority stake 2025,Track,K,,verify
Monex Group,"Tokyo, Japan",Asia,-,CVC,Multi-stage,retail crypto (owns Coincheck),Oki Matsumoto,"Coincheck (acq.), ErisX",,Track,K,,verify
MoneyGram (strategic),"Dallas, USA",US South,-,CVC,Growth,"cash-to-crypto ramps, Stellar rails",,Coinme,,Track,K
Monochrome Asset Management,"Brisbane, Australia",Oceania,-,Liquid asset manager,Liquid,regulated bitcoin ETF (IBTC),Jeff Yew,,,Track,K
Moonbeam Foundation,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,Moonbeam Polkadot-EVM ecosystem grants,Derek Yoo,,,Track,K,,verify
MoonPay Ventures,"Miami, USA",US South,-,CVC,Seed/A,"consumer crypto, payments, web3 infra",Ivan Soto-Wright (MoonPay CEO),,,Track,K,,verify
Moonrock Capital,"London, UK",UK,-,Crypto-native VC,Pre-seed/seed,Advisory plus early token deals,Simon Dedic,,,Track,K,,verify
Morgan Creek Digital,"Chapel Hill, USA",US South,-,Crypto-native VC,Seed/A,blockchain venture funds; pension-fund LPs,Mark Yusko,BlockFi,~$40M Fund I (2018),Track,K
Morgan Stanley,"New York, USA",NYC,HQ,CVC,Growth,"tokenization, institutional bitcoin exposure",,"Securitize, NYDIG",,Track,K
Morningstar Ventures,"Dubai, UAE",MEA,-,Crypto-native VC,Seed/A,"web3, heavy MultiversX ecosystem backer",Danilo Carlucci,"MultiversX ecosystem, Utrust",,Track,K
Mosaic Ventures,"London, UK",UK,-,Generalist w/ crypto,Seed/A,Series A software; early Bitcoin infrastructure,"Simon Levene, Toby Coppel",Blockchain.com,,Track,K
Motier Ventures,"Paris, France",Europe,-,Family office,Pre-seed/seed,"Web3 picks & shovels, fintech, commerce",Guillaume Houzé,,,Track,K
Mouro Capital (ex-Santander InnoVentures),"London, UK",UK,-,CVC,Seed/A,"fintech, crypto compliance, tokenization",Manuel Silva Martinez,"Ripple, Elliptic, Securitize",~$400M,Track,K
Mubadala Investment Company,"Abu Dhabi, UAE",MEA,Office,Sovereign wealth fund,Liquid,SWF; bitcoin ETF position,Khaldoon Al Mubarak,IBIT (~$400M+ position),~$300B AUM,Track,K
MUFG Innovation Partners,"Tokyo, Japan",Asia,-,CVC,Multi-stage,"security tokens, settlement (Progmat)",,Securitize,,Track,K
Murray Capital,"Edinburgh, UK",UK,-,family office,early,Scottish family office; crypto fintech exposure,David Murray family,Zumo,,Track,K,,verify
MY E.G. Services (Zetrix),"Petaling Jaya, Malaysia",Asia,-,corporate strategic,strategic,built Zetrix L1; web3 ventures,"Wong Thean Soon ('TS Wong', co-founder)",Zetrix,,Track,K,,verify
Mythical Ventures,"Los Angeles, USA",US West,-,Corporate VC,Early,web3 gaming fund of Mythical Games,John Linden (Mythical CEO),,,Track,K,,verify
MZ Web3 Fund,"Tokyo, Japan",Asia,-,Family office,Pre-seed/seed,Japan web3 consumer,Yusaku Maezawa,,,Track,K,,verify
Méliuz,"Belo Horizonte, Brazil",LatAm,-,Listed co (BTC treasury),-,first Brazilian listed bitcoin treasury company,Israel Salmen (founder/chairman),,~600 BTC (2025),Track,K
NAB Ventures,"Melbourne, Australia",Oceania,Office,bank CVC,strategic,bank CVC; digital asset custody,,Zodia Custody,,Track,K
National Bitcoin Office (ONBTC),"San Salvador, El Salvador",LatAm,-,Sovereign (strategic),-,"sovereign BTC treasury, ecosystem programs",Stacy Herbert (director),CUBO+ developer program,"~6,200+ BTC treasury",Track,K
Naver D2SF,"Seoul, South Korea",Asia,-,CVC (Naver),seed,Naver startup fund; occasional blockchain,,Haechi Labs (Face Wallet),,Track,K,,verify
NCSoft,"Seongnam, South Korea",Asia,-,CVC,Growth,web3 gaming infrastructure bets,Kim Taek-jin (founder/CEO),"Mysten Labs ($15M, Series B)",,Track,K
NEAR Foundation,"Zug, Switzerland",Europe,-,Ecosystem fund,Pre-seed/seed,NEAR L1 grants and ecosystem investments,"Illia Polosukhin, Marieke Flament","Proximity Labs, Sweat Economy",~$800M ecosystem program (2021),Track,K
Neo Global Development (Neo EcoBoost),"Shanghai, China",Asia,-,Ecosystem fund,Pre-seed/seed,"Neo L1 ecosystem grants, dev funding","Da Hongfei, Erik Zhang",,~$100M EcoBoost (2019),Track,K
NEOM Investment Fund,"NEOM, Saudi Arabia",MEA,-,Sovereign fund,Growth,"NEOM tech ecosystem, web3 via Animoca",Majid Mufti,Animoca Brands,,Track,K
Neoply (Neowiz),"Seongnam, South Korea",Asia,-,CVC / incubator (Neowiz),seed/incubation,"Neowiz blockchain arm; staking, DeFi",,NEOPIN (incubated/spun out),,Track,K
Neptune Digital Assets,"Vancouver, Canada",Canada,-,Public investment co,Liquid/holdings,TSXV-listed digital asset and staking company,Cale Moodie (CEO),,,Track,K
Nervos Foundation,"Hangzhou, China",Asia,-,Ecosystem fund,Pre-seed/seed,Nervos CKB L1 ecosystem grants,"Kevin Wang, Terry Tai, Daniel Lv",,~$50M fund w/ CMB Intl,Track,K,,verify
Nestcoin,"Lagos, Nigeria",MEA,-,Venture studio,Pre-seed/seed,builds and invests in African web3 products,Yele Bademosi,"Onboard, Metaverse Magna, Breach",~$6.45M pre-seed,Track,K
New Form Capital,"Miami, USA",US South,-,Fintech VC,Pre-seed/seed,"fintech, DeFi, data economy",Alex Marinier,,,Track,K,,verify
New York Life (strategic),"New York, USA",NYC,HQ,Insurer strategic,Growth,Institutional bitcoin platform minority stakes,,NYDIG (2021 growth round),,Track,K
Newtown Partners,"Cape Town, South Africa",MEA,-,Crypto-native VC,Pre-seed/seed,blockchain/token economics; founders' family office,"Vinny Lingham, Llew Claasen","Civic, BitGo, Wala, Bitaccess",,Track,K
Nexo Ventures,"London, UK",UK,-,CVC,Seed/A,"web3, DeFi, GameFi",,,~$150M,Track,K,,verify
Next Big Thing AG,"Berlin, Germany",Europe,-,Venture studio,Pre-seed/seed,IoT plus DLT machine economy venture building,Harald Zapp,,,Track,K,,verify
Next100 Blockchain (NextTech Group),"Hanoi, Vietnam",Asia,-,corporate VC,seed,NextTech Group blockchain fund,Nguyen Hoa Binh ('Shark Binh'),AntEx,~$50M,Track,K,,verify
NGC Ventures,Singapore,Asia,-,Crypto-native VC,Seed/A,"L1 protocols, early token rounds","Roger Lim, Tony Gu","Zilliqa, Algorand, Ontology",,Track,K
Nima Capital,"New York, USA",NYC,HQ,Family office,Multi-stage,"single-family office, tokens plus venture",Suna Said,,,Track,K,,verify
Node Capital,"Beijing, China",Asia,-,Crypto-native VC,Pre-seed/seed,"Exchange, media, mining ecosystem",Du Jun,Jinse Finance,,Track,K
Northern Trust,"Chicago, USA",US Central,Office,CVC,Multi-stage,institutional crypto custody,,Zodia Custody (co-founded),,Track,K
Not Boring Capital,"New York, USA",NYC,HQ,Generalist w/ crypto,Pre-seed/seed,"Solo GP, tech optimism incl web3",Packy McCormick,,~$30M Fund II,Track,K
Not3Lau Capital,Singapore,Asia,-,newsletter-born angel vehicle,Angel,angel fund of Daily Ape newsletter authors,"Darren Lau, Daryl Lau",,,Track,K,,verify
Notation Capital,"Brooklyn, USA",NYC,HQ,Generalist w/ crypto,Pre-seed/seed,"Technical pre-seed, deep crypto involvement","Nicholas Chirls, Alex Lines",,,Track,K,,verify
NTT Docomo Ventures,"Tokyo, Japan",Asia,-,CVC,Seed/A,telecom web3; large parent commitment,,,~¥600B parent web3 pledge,Track,K,,verify
Nubank,"São Paulo, Brazil",LatAm,-,Fintech (strategic),-,"neobank; BTC treasury, Nucripto, Nucoin",David Vélez,Nucripto (with Paxos),~1% of cash in BTC (2022),Track,K
NXC (Nexon holding co),"Jeju, South Korea",Asia,-,CVC,Growth,crypto exchange stakes (Bitstamp sold),,"Bitstamp, Korbit",,Track,K
NYDIG,"New York, USA",NYC,HQ,Bitcoin financial services (strategic),Growth,"Bitcoin custody, mining finance, acquisitions",Ross Stevens,Crusoe bitcoin mining unit (acquired 2025),~$1B raised (2021),Track,K
Nym Innovation Fund (Nym Technologies),"Neuchatel, Switzerland",Europe,-,Ecosystem/developer fund,Grants,Privacy mixnet application ecosystem,Harry Halpin (Nym CEO),,"~$300M committed (a16z, Polychain et al.)",Track,K
Oak Grove Ventures,Singapore,Asia,-,VC (ex-family office),Early,"Web3, AI, biotech intersection","Sally Wang (ex-Sino Global), Michael Li (ex-Coinbase), Shawn Shi (Alchemy Pay)",,~$60M Fund I (Sep 2023),Track,K
Oak HC/FT,"Stamford, USA",US East,Verify,Fintech VC,Multi-stage,Fintech; digital asset infrastructure deals,Annie Lamont,Paxos,~$1.9B Fund V,Track,K,,verify
Oasis Protocol Foundation,Remote,Global,-,Ecosystem fund,Pre-seed/seed,Oasis privacy L1 ecosystem fund,Dawn Song,,~$200M ecosystem fund (2022),Track,K,,verify
Octopus Ventures,"London, UK",UK,-,Generalist w/ crypto,Multi-stage,UK multi-sector; early blockchain analytics bet,Malcolm Ferguson,Elliptic,~£2B AUM,Track,K
Off the Chain Capital,"Orlando, USA",US South,-,Liquid + venture,Liquid/secondaries,"distressed crypto value investing, Mt. Gox claims",Brian Estes,,,Track,K
Old Fashion Research,Singapore,Asia,-,Crypto-native VC,Seed/A,Ex-Binance team; global incl. LatAm,"Ling Zhang, Wayne Fu",,~$100M,Track,K
Olympus DAO,Remote,Global,-,DAO treasury,Strategic/incubation,Protocol-owned liquidity treasury investing,Zeus (pseudonymous founder),Bond Protocol (incubated),~$200M treasury,Track,K,,verify
Oman Investment Authority,"Muscat, Oman",MEA,-,Sovereign wealth fund,Growth,Energy-transition tech incl. Bitcoin mining,Abdulsalam Al Murshidi,Crusoe Energy (flare-gas Bitcoin mining; Oman expansion),~$50B AUM,Track,K
OMERS Ventures,"Toronto, Canada",Canada,Verify,Pension fund VC arm,Series A-B,Early bets incl. Ethereum-focused vehicles,Damien Steel,Ether Capital (backer); Wealthsimple,~$2B AUM,Track,K,,verify
Onchain Capital (Crypto Banter),"Dubai, UAE",MEA,-,media personality fund,Early/liquid,fund of Crypto Banter show host,Ran Neuner,,,Track,K,,verify
Ondo Catalyst (Ondo Finance),"New York, USA",NYC,HQ,ecosystem fund,"early-growth, tokens & equity",RWA tokenization protocols and infrastructure,"Nathan Allman, Ian De Bode",,~$250M (with Pantera),Track,K
OpenSats,Remote,US Remote,-,Nonprofit grants,Grants,"Bitcoin, freedom tech, privacy tool grants",Matt Odell (board),"Grants to Bitcoin Core, Cashu ecosystem devs",,Track,K
OpenSea Ventures,"New York, USA",NYC,HQ,CVC,Pre-seed/seed,"NFT ecosystem, web3 consumer",Devin Finzer,,,Track,K,,verify
Opentensor Foundation,Remote,Global,-,Ecosystem foundation,Grants,Bittensor (TAO) ecosystem development,"Jacob Steeves, Ala Shaabana (co-founders)",,,Track,K
Optimism Foundation,Remote,Global,-,Ecosystem fund,Pre-seed/seed,"OP Stack L2, retro public goods funding","Jinglan Wang, Karl Floersch, Ben Jones",RetroPGF grant rounds,,Track,K
Optiver (strategic),"Amsterdam, Netherlands",Europe,-,strategic (market maker),strategic,market maker; tokenization infrastructure bets,,Digital Asset,,Track,K,,verify
OranjeBTC,"São Paulo, Brazil",LatAm,-,Listed co (BTC treasury),-,Brazilian bitcoin treasury company (2025),"Guilherme Gomes (CEO, reported)",,~$210M raised (reported),Track,K,,verify
Orbix Invest (Unita Capital/KBank),"Bangkok, Thailand",Asia,-,digital asset fund manager,fund mgmt,KBank-owned crypto fund manager (ex-Satang),Poramin Insom (Satang founder),,~$100M Satang acquisition,Track,K,,verify
Oregon Blockchain Group,"Eugene, USA",US West,-,Student club fund,Liquid tokens,Student crypto fund plus consulting (Dorm DAO),,Published Dorm DAO Fund positions,~share of 600 ETH Dorm DAO pool,Track,K
OxfordDAO (Oxford Blockchain Society),"Oxford, UK",UK,-,Student DAO fund,Liquid tokens,Student-run crypto fund and governance,"Keivan Samani (president, fund architect)",,~£3M,Track,K
P1 Ventures,"Cairo, Egypt",MEA,-,VC,Pre-seed–Seed,"Pan-African tech, leads stablecoin payments rounds","Mikael Hajjar, Hisham Halbouny","Juicyway (led), Kotani Pay (led)",~$50M fund,Track,K
Palm Tree Crew Crypto (PTC Crypto),"Miami, USA",US South,-,Celebrity-backed angel fund,Pre-seed/Seed,Consumer and music-adjacent web3,"Brett Shear (BlockchainBrett), Kygo, Myles Shear",,,Track,K
Paper Ventures,"London, UK",UK,-,VC,Pre-seed/Seed,"Early-stage web3, DeFi, GameFi","Danish Chaudhry, Oliver Blakey, Ivailo Jordanov",,~$25M Fund I (Jan 2024),Track,K
Parataxis Capital,"New York, USA",NYC,HQ,Hedge fund + venture,Venture/Liquid,Bitcoin multi-strategy with venture sleeve,Edward Chin,Parataxis Korea (KOSDAQ),~$1B AUM,Track,K
Paribu Ventures,"Istanbul, Turkey",MEA,-,Exchange venture arm,Seed,"Turkish exchange arm, web3 and gaming",Yasin Oral (Paribu founder/CEO),,,Track,K,,verify
Partisia Blockchain Foundation,"Zug, Switzerland",Europe,-,Foundation / ecosystem grants,Grants,MPC privacy blockchain ecosystem funding,"Kurt Nielsen, Ivan Damgard (MPC pioneer)",,~25k-250k $MPC per grant,Track,K
Patron,"San Francisco, USA",US West,-,Crypto-native VC,Pre-seed/seed,"web3 gaming, games x consumer convergence","Brian Cho, Jason Yeh, Amber Atherton",,~$100M fund II,Track,K
Peak XV Partners,Singapore,Asia,-,Generalist w/ crypto,Multi-stage,"India/SEA generalist, crypto exposure",Shailendra Singh,"Polygon, CoinSwitch, CoinDCX",~$9B AUM,Track,K
PEAK6 Strategic Capital,"Chicago, USA",US Central,Verify,CVC,Multi-stage,Fintech operator-investor; built Apex Crypto,"Matt Hulsizer, Jenny Just","Apex Crypto (built, sold to Bakkt)",,Track,K,,verify
Pelion Venture Partners,"Salt Lake City, USA",US West,-,Generalist w/ crypto,Seed/A,enterprise software; GP of Medici blockchain fund,Blake Modersitzki,tZERO (via Medici fund),~$500M Fund VIII,Track,K
Pictet Group (strategic),"Geneva, Switzerland",Europe,-,private bank / asset manager,strategic,private bank; digital asset infrastructure stakes,,Taurus,,Track,K
Pillar VC,"Boston, USA",US East,-,Generalist w/ crypto,Pre-seed/seed,"Boston seed, early token-equity buyer",Jamie Goldstein,Algorand,,Track,K
Play Ventures,Singapore,Asia,-,Gaming VC w/ crypto,Pre-seed/seed,Games studios; Future Fund for web3,"Henric Suuronen, Harri Manninen",,~$75M web3 Future Fund,Track,K
PleasrDAO,Remote,US Remote,-,Collector DAO,Pre-seed/seed,culturally significant NFT/media asset collecting,Jamis Johnson,"Wu-Tang 'Shaolin' album, Doge meme NFT",,Track,K
PlebLab,"Austin, USA",US Central,-,Accelerator,Pre-seed/seed,Bitcoin hackerspace and accelerator,"Kyle Murphy, Car (Thriller Bitcoin)",,,Track,K,,verify
Plug and Play Tech Center,"Sunnyvale, USA",US West,-,Generalist w/ crypto,Pre-seed/seed,corporate accelerator; crypto and digital assets vertical,Saeed Amidi,,,Track,K,,verify
Plume (RWAfi Ecosystem Fund),"New York, USA",NYC,HQ,ecosystem fund,pre-seed-seed,RWAfi projects building on Plume,"Chris Yin, Teddy Pornprinya",,~$25M,Track,K
Pomp Investments,"New York, USA",NYC,HQ,Family office,Seed/A,"Pompliano personal investment firm, crypto/fintech",Anthony Pompliano,,,Track,K,,verify
Porsche Ventures,"Stuttgart, Germany",Europe,-,CVC,Seed/A,"auto lifestyle; blockchain, fan platforms",,"Gapless, Fanzone",,Track,K,,verify
Presto Labs,"Seoul, South Korea",Asia,-,quant trading firm w/ venture arm,early/token,"quant trading, research, token investments",Peter Chung (head of research),,,Track,K,,verify
Primitive Ventures,"San Francisco, USA",US West,-,Crypto-native VC,Pre-seed/seed,"East-West crypto, China diaspora ties","Dovey Wan, Eric Meltzer",,,Track,K
ProDigital Future Fund,Hong Kong,Asia,-,Crypto-native VC,Seed/A,"Web3, digital economy, HK ecosystem","Curt Shi, Ben Lee",,~$100M target,Track,K,,verify
Proof Group,"San Francisco, USA",US West,-,Crypto-native VC,Multi-stage,"Crypto infra, mining assets, distressed deals",Noah Jessop,"Aptos Labs, Mysten Labs, Ionic Digital (Celsius)",,Track,K
Prosperity7 Ventures,"Dhahran, Saudi Arabia",MEA,-,CVC (Aramco growth fund),Growth,"diversified growth fund, blockchain infrastructure bets",Aysar Tayeb (exec managing director),Red Date Technology (led $30M Series A),~$1B fund,Track,K
Prosus Ventures,"Amsterdam, Netherlands",Europe,-,CVC,Multi-stage,global consumer internet; web3 gaming,,Immutable,,Track,K,,verify
Provenance Blockchain Foundation,"San Francisco, USA",US West,-,Ecosystem fund,Pre-seed/seed,"Provenance L1, regulated finance ecosystem",Morgan McKenney,,,Track,K,,verify
Proximity Labs,Remote,Global,-,Ecosystem fund,Pre-seed/seed,NEAR DeFi ecosystem grants,,Ref Finance,~$350M in NEAR grants DAO,Track,K,,verify
PyratzLabs,"Paris, France",Europe,-,Accelerator,Pre-seed/seed,"Web3 startup studio: gaming, DeFi",Bilal El Alamy,Dogami,,Track,K
QBN Capital,Hong Kong,Asia,-,Fintech VC,Seed/A,"Fintech, blockchain, digital assets",Philea Chim,,,Track,K,,verify
QCP Capital,Singapore,Asia,-,Liquid + venture,Multi-stage,"crypto options desk, selective venture",Darius Sit,,,Track,K,,verify
QR Capital,"Sao Paulo, Brazil",LatAm,-,Crypto asset manager,Liquid,crypto ETFs (QBTC11 on B3); asset mgr,Fernando Carvalho,,,Track,K,,verify
Qtum Foundation,Singapore,Asia,-,Ecosystem fund,Pre-seed/seed,Qtum L1 ecosystem grants,Patrick Dai,,,Track,K,,verify
Quantstamp Ventures,"San Francisco, USA",US West,-,CVC (audit firm),Seed,Smart-contract audit firm's investing arm,Richard Ma (Quantstamp CEO); Don Ho,,,Track,K,,verify
QueensBridge Venture Partners,"Los Angeles, USA",US West,-,Generalist w/ crypto,Seed/A,"culture-led generalist, early Coinbase backer","Anthony Saleh, Nas","Coinbase, Robinhood",,Track,K,,verify
Raba Partnership,"Cape Town, South Africa",MEA,-,Generalist w/ crypto,Seed/A,Africa-focused tech; some web3 deals,George Rzepecki,Nestcoin,,Track,K,,verify
Raised In Space,"Los Angeles, USA",US West,-,Generalist w/ crypto,Pre-seed/seed,"music x blockchain, Ripple-backed","Shara Senderoff, Zach Katz",,,Track,K,,verify
Rakuten Capital,"Tokyo, Japan",Asia,-,CVC,Multi-stage,"e-commerce CVC; crypto payments, Rakuten Wallet",,Bitnet (assets later acquired),,Track,K,,verify
Raptor Group,"Boston, USA",US East,-,Family office,Multi-stage,Pallotta FO with early crypto bets,Jim Pallotta,,,Track,K,,verify
Re7 Capital,"London, UK",UK,-,DeFi-native asset manager,Liquid + early venture,DeFi yield and onchain vault curation,Evgeny Gokhberg (founder),Curates Morpho and Euler vault strategies,,Track,K
Recruit Strategic Partners,"Tokyo, Japan",Asia,-,CVC (Recruit Holdings),seed-Series B,corporate VC with blockchain bets,,Blockstack; bitFlyer,,Track,K,,verify
